Transcription_N,Class
"die Dame hat sich sehr ausführlich mit mir unterhalten hat sich viel Zeit genommen auch bei meinen wiederholten Rückfragen und das war sehr hilfreich für mich das war also alles in allem sehr hilfreich danke tschüss",0
"nachdem ich jetzt viermal angerufen habe bin ich viermal gecancelt worden und das ist ein scheiß Service  und eine Minute ist kurz um meine Laune jetzt richtig loswerden zu können  weiter",a
"nein nein sehr nette und freundlich Bedienung am Telefon man versucht uns zu helfen da möcht' ich mich recht herzlich bedanken für",0
"ich tätige ja jetzt bereits den dritten   Anruf es geht um ein Umzug  von einer alten Wohnung in die neue Wohnung  da sollte heute morgen um acht zwischen acht und zehn ein  Monteur kommen um die Umschaltung vorzunehmen mittlerweile haben wir  dreizehn vierzehn Uhr und  ich versuche jetzt irgendwie zu ermitteln wann kommt der Mensch oder kommt der überhaupt heute noch oder wann kommt der der  die eine Kollegin sagt mir Herr  es muss ein neuer Termin gemacht werden die nächste sagt ja warten sie dann ist sie auf einmal verschwunden ich wähle und wähle und wähle und  ich bin genauso schlau wie ich zu Anfang war jedenfalls müsste man doch irgendwie mir mal sagen können was wie's jetzt weitergeht Ende",2
"ich tätige ja jetzt bereits den dritten   Anruf es geht um ein Umzug  von einer alten Wohnung in die neue Wohnung  da sollte heute morgen um acht zwischen acht und zehn ein  Monteur kommen um die Umschaltung vorzunehmen mittlerweile haben wir  dreizehn vierzehn Uhr und  ich versuche jetzt irgendwie zu ermitteln wann kommt der Mensch oder kommt der überhaupt heute noch oder wann kommt der der  die eine Kollegin sagt mir Herr  es muss ein neuer Termin gemacht werden die nächste sagt ja warten sie dann ist sie auf einmal verschwunden ich wähle und wähle und wähle und  ich bin genauso schlau wie ich zu Anfang war jedenfalls müsste man doch irgendwie mir mal sagen können was wie's jetzt weitergeht Ende",1
"Ihre kompetente Mitarbeiterin hat mich sehr gut beraten hat zunächst meine Beschwerde aufgenommen und   Verständnis gezeigt nicht nur geheucheltes sondern wirkliches Verständnis und mich dann   aufgeklärt über Wechselmöglichkeiten über eine  adäquate Verlängerung dieses Vertrages meines Vertrages und somit bin ich wirklich ausgesprochen zufrieden über die sehr kompetent Beratung ich bedanke mich",1
"ja ich möcht' an der Stelle einfach nur sagen ja die Beratung an sich war okay bei dem Gespräch aber ich sollte noch zum Vertrieb verbunden werden und  so wie's scheint muss ich jetzt noch mal anrufen und  das find' ich ein bisschen unbefriedigend an der Stelle deswegen insgesamt nur befriedigend",c
"ich bin sehr unzufrieden da es jetzt zu keinem Gespräch gekommen ist man hier einfach aus der Leitung das sollt' schnellstmöglich geändert werden",a
"weiter",0
"ich find' es eine Frechheit wenn man mich einfach aus der Leitung schmeißt weil Sie sagen  ich soll mich an den Laden da wenden wo ich diesen Vertrag gemacht hab'  mit DSL und  kündigen und einfach ja können wir nicht machen und fertig find' ich eine Schweinerei",1
"weiter weiter",0
"ich war sehr zufrieden mit dem Gespräch was ich mit Frau  geführt hab' und  ich kann das wirklich nur weiterempfehlen ich muss sagen das Gespräch war so wie ich's mir eigentlich gewünscht habe",0
"warum legt dieser Mensch einfach auf Fragezeichen",b
"weiter",0
"die Mitarbeiter war total unfreundlich und  unkooperativ  sie sollte mich als Kunden bevor man das geht nicht darüber möcht' ich mich beschweren",d
"weiter",0
"weiter",0
"also ich hab'  im  August dieses Entertain bestellt ich hab' im September eine   Auftragsbestätigung gekriegt jetzt ist Mitte   Dezember und ich hab' immer noch keine",1
"also ich war sehr zufrieden und das Gespräch war sehr aufklärungsreich und ich kann das nur weiterempfehlen",0
"weiter",0
"also ich war sehr unzufrieden mit dem Gespräch ich wollte die was fragen und wollte noch ein paar Auskünfte haben zu Telefonnummern und bin einfach abgebügelt worden so was ist mir noch nie passiert und da muss ich sagen war ich  richtig richtig scheiße sauer okay",1
"also ich war sehr unzufrieden mit dem Gespräch ich wollte die was fragen und wollte noch ein paar Auskünfte haben zu Telefonnummern und bin einfach abgebügelt worden so was ist mir noch nie passiert und da muss ich sagen war ich  richtig richtig scheiße sauer okay",b
"eigentlich wollte ich Sie darauf aufmerksam machen dass Sie ein  Pod Kunden was zuschicken was so gar nicht passt  daraufhin musst ich sieben Minuten warten am Telefon und vielleicht hören Sie sich das Gespräch an  musst' ich irgendwie mir von einer doch etwas forschen Mitarbeiterin  doch sehr Unfreundliches anhören also vom Ton also ich mein' hören Sie's selber also da muss ich sagen so möcht' ich Ihnen irgendwie   etwas näher bringen  und behandelt werden und ich möcht's auch gar nicht wenn ich ein Problem habe von Ihnen etwas haben fertig",1
"eigentlich wollte ich Sie darauf aufmerksam machen dass Sie ein  Pod Kunden was zuschicken was so gar nicht passt  daraufhin musst ich sieben Minuten warten am Telefon und vielleicht hören Sie sich das Gespräch an  musst' ich irgendwie mir von einer doch etwas forschen Mitarbeiterin  doch sehr Unfreundliches anhören also vom Ton also ich mein' hören Sie's selber also da muss ich sagen so möcht' ich Ihnen irgendwie   etwas näher bringen  und behandelt werden und ich möcht's auch gar nicht wenn ich ein Problem habe von Ihnen etwas haben fertig",d
"das Beratungsgespräch war wirklich sehr zufrieden ich bin weitergekommen mit meiner mit meinem Problem nur die Wartezeiten bis man einen Berater bekommt die sind einfach viel zu lang weiter",e
"also wie gesagt ich war sehr zufrieden sehr nette Mitarbeiter alles schnell geregelt vielen Dank für alles",0
"wir wurde also ganz super beraten und sind sehr zufrieden gewesen weiter bitte",0
"ich ruf' jetzt das dritte Mal an und fliege jetzt das dritte Mal aus der Leitung raus und mein Problem ist immer noch nicht behandelt worden und  das find' ich eigentlich ein bisschen traurig und jetzt ich werd' mir demnächst überlegen ob ich überhaupt bei bei der Telekom noch einen DSL Anschluss nehmen soll",a
"ich ruf' jetzt das dritte Mal an und fliege jetzt das dritte Mal aus der Leitung raus und mein Problem ist immer noch nicht behandelt worden und  das find' ich eigentlich ein bisschen traurig und jetzt ich werd' mir demnächst überlegen ob ich überhaupt bei bei der Telekom noch einen DSL Anschluss nehmen soll",1
"weiter",0
"weiter",0
"der Herr war etwas schwer verständlich aber ansonsten hab' ich mich sehr gut beraten gefühlt  also meine Frage wurde sehr schnell geantwortet  ich empfand ihn als sehr kompetent und  er hat mir ja einfach weitergeholfen",0
"alles in in bester Ordnung also weiter",0
"ja ich wollte eigentlich dazu nur sagen dass es momentan oder zur Zeit viel besser geworden ist und ich hoffe nur das man das Versprochene das man mir gerade zusagt hat auch hält und dass dann weitergeht es gab' nämlich eine Zeit da waren die auch sehr nett aber es kam nichts zurück das war's schon momentan",1
"mit dem Service war ich sehr zufrieden",0
"das Gespräch war sehr positiv  der Mitarbeiter kompetent und  hilfreich das Problem konnte behoben werden",0
"also meine Gesprächspartnerin die Frau  war sehr kompetent sehr freundlich ist mir sehr entgegengekommen es war auch verständlich war sie mir erklärt hat da gibt's überhaupt  nichts zu kritisieren es war ein sehr angenehmes Gespräch",0
"war alles okay soweit",0
"Euer Service ist grottentiefschlecht kann ich nur wiederholen es hat sich seit zehn Jahren nichts geändert rein gar nichts",d
"ein hundertprozentig kompetenter Mitarbeiter der mich absolut mit meinen Wünschen zufrieden gestellt hat weiter",0
"ich sollte verbunden werden bin dann ewig in der Warteschleife gehängt und wurde nicht verbunden",e
"ich sollte verbunden werden bin dann ewig in der Warteschleife gehängt und wurde nicht verbunden",a
"also ich habe jetzt  kurz innerhalb von  drei vier Minuten  wurde mir alles also erklärt also ich hatte Probleme mit dem Internet und es jetzt wunderbar also gelöst worden und dann muss ich sagen ist also die Kommunikation sehr gut gewesen und ich bin damit sehr zufrieden und nur weiter so",1
"der Kollege sehr ordentlich gesprochen gutes Auftreten und vorallendingen fachkundig und er hat mein Problem zu meiner Zufriedenheit gelöst",0
"diese Computerstimmer sich mit der auseinandersetzen und lange Slogans anzuhören finde ich nicht von Vorteil es ist besser wenn  kurze knappe Fragen gestellt würden auf denen man mit  Zahlenkombinationen antworten kann und nicht verbal weil  das  funktioniert in meinem Fall nicht so wie ich mir das vorstelle weiter",0
"ich wurde sehr gut  beraten wurde zügig weitergeleitet und bin jetzt mit der Beratung durch den Technik Service zufrieden",0
"ja ich habe kein Problem oder ich finde es wunderbar wie   wie Ihre Mitarbeiter auf die Fragen antworten sehr geduldig angenehm  und kompetent   ich finde trotz dem den Preis für Call_and_surf   comfort  ein ein ein Stückchen zu hoch ein einige Euro so  das andere was ich  als als Riesenproblem erachte ist dass  eine Erfahrung die ich   von der Firma ausgemacht habe dass die Daten nach einem Umzug unglaublich lange in Ihren Systemen rumgeistern Ihre Ihre Mitarbeiter  mehrfach sagen  die wären gelöscht worden und nur auf äußerst dringliches Nachdrängen nach weiß nicht anderthalb Jahren es zu schaffen ist  wirklich alte Daten   wirklich aus Ihrem System zu löschen die sind immer noch",1
"ja ich habe kein Problem oder ich finde es wunderbar wie   wie Ihre Mitarbeiter auf die Fragen antworten sehr geduldig angenehm  und kompetent   ich finde trotz dem den Preis für Call_and_surf   comfort  ein ein ein Stückchen zu hoch ein einige Euro so  das andere was ich  als als Riesenproblem erachte ist dass  eine Erfahrung die ich   von der Firma ausgemacht habe dass die Daten nach einem Umzug unglaublich lange in Ihren Systemen rumgeistern Ihre Ihre Mitarbeiter  mehrfach sagen  die wären gelöscht worden und nur auf äußerst dringliches Nachdrängen nach weiß nicht anderthalb Jahren es zu schaffen ist  wirklich alte Daten   wirklich aus Ihrem System zu löschen die sind immer noch",2
"ja ganz kurz ich hatte eine Frage zu meinen drei Rechnungen die sind seit September bei Ihnen umgestiegen es wurde  nichts von meinem Konto abgebucht und  ja ich hatte einfach eine Frage zu dieser Gutschrift von hundert zwanzig Euro und da sollte man mir detailliert sagen wo das Geld geblieben ist wie das verrechnet wurde die Kollegin hat einfach aufgelegt und mich aus der Leitung geschmissen und das find' ich eine bodenlose Frechheit und ich hoffe dass ich morgen hier bei mir telefonisch melden wird und mir darüber Auskunft geben kann denn Ihre Rechnungen sagen nicht aus wie die hundert zwanzig Euro verrechnet wurden und ob ich die offenen Beträge jetzt in einem Betrag noch bezahlen kann vor Weihnachten kann ich Ihnen jetzt so jetzt auch nicht sagen denn es ist ja nicht ein verschulden Kontonummer alles hatten Sie von uns ich hab' keinerlei Informationen bekommen dass Sie nicht mehr abbuchen",4
"ja ganz kurz ich hatte eine Frage zu meinen drei Rechnungen die sind seit September bei Ihnen umgestiegen es wurde  nichts von meinem Konto abgebucht und  ja ich hatte einfach eine Frage zu dieser Gutschrift von hundert zwanzig Euro und da sollte man mir detailliert sagen wo das Geld geblieben ist wie das verrechnet wurde die Kollegin hat einfach aufgelegt und mich aus der Leitung geschmissen und das find' ich eine bodenlose Frechheit und ich hoffe dass ich morgen hier bei mir telefonisch melden wird und mir darüber Auskunft geben kann denn Ihre Rechnungen sagen nicht aus wie die hundert zwanzig Euro verrechnet wurden und ob ich die offenen Beträge jetzt in einem Betrag noch bezahlen kann vor Weihnachten kann ich Ihnen jetzt so jetzt auch nicht sagen denn es ist ja nicht ein verschulden Kontonummer alles hatten Sie von uns ich hab' keinerlei Informationen bekommen dass Sie nicht mehr abbuchen",d
"ja ganz kurz ich hatte eine Frage zu meinen drei Rechnungen die sind seit September bei Ihnen umgestiegen es wurde  nichts von meinem Konto abgebucht und  ja ich hatte einfach eine Frage zu dieser Gutschrift von hundert zwanzig Euro und da sollte man mir detailliert sagen wo das Geld geblieben ist wie das verrechnet wurde die Kollegin hat einfach aufgelegt und mich aus der Leitung geschmissen und das find' ich eine bodenlose Frechheit und ich hoffe dass ich morgen hier bei mir telefonisch melden wird und mir darüber Auskunft geben kann denn Ihre Rechnungen sagen nicht aus wie die hundert zwanzig Euro verrechnet wurden und ob ich die offenen Beträge jetzt in einem Betrag noch bezahlen kann vor Weihnachten kann ich Ihnen jetzt so jetzt auch nicht sagen denn es ist ja nicht ein verschulden Kontonummer alles hatten Sie von uns ich hab' keinerlei Informationen bekommen dass Sie nicht mehr abbuchen",b
"das war äußerst unzufrieden weil ich eine Minute in der  Schleife gehangen habe gar nichts gehört habe und sich auch kein Berater und gar nicht gemeldet hat  ich muss sagen also die Hotline da bin ich sehr unzufrieden mit das war scheiße so weiter",a
"mit der Beratung war ich sehr zufrieden vielen Dank auch",0
"ich hatte ein Gespräch mit Ihrem Herrn  ich war mehr als zufrieden er hat sehr sehr gut bedient vielen Dank dafür",0
"ja ich bin leider mit meinem Anliegen immer noch zu keinem Abschluss gekommen ich hab' auch nach wie vor keine Antwort bekommen wann denn nun der Internetanschluss den ich am sechs und zwanzigsten Oktober bestellt hatte  bei mir eingerichtet wird außer dass  wie schon die letzten Wochen wie ich immer angerufen habe  den Verantwortlichen  sofort eine Email geschrieben wird mehr erfahr ich da sonst nicht das ist sehr traurig und ich find's ziemlich schlimm  ich wäre froh endlich mal zu erfahren wie es weitergeht seit acht Wochen höre ich dass die Anschlussmöglichkeit manuell überprüft werden müsste  das sind  also wirklich noch kein Zentimeter weitergekommen und das ist äußerst frustrierend",1
"ja ich bin leider mit meinem Anliegen immer noch zu keinem Abschluss gekommen ich hab' auch nach wie vor keine Antwort bekommen wann denn nun der Internetanschluss den ich am sechs und zwanzigsten Oktober bestellt hatte  bei mir eingerichtet wird außer dass  wie schon die letzten Wochen wie ich immer angerufen habe  den Verantwortlichen  sofort eine Email geschrieben wird mehr erfahr ich da sonst nicht das ist sehr traurig und ich find's ziemlich schlimm  ich wäre froh endlich mal zu erfahren wie es weitergeht seit acht Wochen höre ich dass die Anschlussmöglichkeit manuell überprüft werden müsste  das sind  also wirklich noch kein Zentimeter weitergekommen und das ist äußerst frustrierend",a
"weiter",0
"ja Bitteschön  wir haben folgenden komplexes Thema  Anschluss einer Telefonleitung beantrage bei $M Net  die Hauptleitung wie ich herausbekommen habe ist   Telekom und hier  gibt es jetzt  ja Überfrachtungen  der Zugehörigkeit beziehungsweise  der Möglichkeit einen Anschluss Freischaltung für $M Net zu bekommen das ist der Grund des Anrufs und ich hab' schon mehrere Wochen jetzt hier ja   eigentlich  konferiert mit den verschiedenen Anbietern von  Telekom  über Vodafone und jetzt land' ich bei $M Net  die ganze Geschichte ist noch nicht geklärt wir werden weiter hier noch daran arbeiten Dankeschön",1
"mit dem Gespräch mit Ihrem Mitarbeiter war ich zufrieden und  ob ich wirklich zufrieden war das werd' ich auf meiner nächsten Telefonrechnung sehen  aber im Großen und Ganzen war er sehr nett was man nicht so oft erlebt bei der Telekom",4
"der Herr der war sehr freundlich sachlich alles richtig also ich war sehr zufrieden",0
"es war ein sehr kompetenter Mitarbeiter der sich äußerst viel Mühe gegeben hat und ich bin wirklich sehr  froh dass ich  so kompetent beraten wurde und  alle Probleme wurden  gelöst",0
"weiter weiter",0
"die Mitarbeiterin war sehr freundlich",0
"ja ich hatte eine DSL Störung das wurde durchgemessen sehr sofort und wurde mir mitgeteilt dass die Störung bei mir in der Anlage liegen muss daraufhin hab' ich die Kabel erneuert und siehe da die Störung ist behoben ich bedanke mich für die Beratung weiter",3
"korrekt präzise informativ hilfreich freundlich sehr freundlich ja alles in allem zufrieden",0
"das Gespräch war überhaupt noch nicht beendet ich wurde gebeten noch mal kurz zu warten und jetzt kommt quasi der Dankes  das find' ich nicht so schön",c
"weiter",0
"weiter",0
"es wurde sich schlampig am Telefon gemeldet ich versteh' überhaupt nicht den Namen der der sich überhaupt meldet und dann werden die Sachen gar nicht richtig bearbeitet ich bekomm' hier Rechnungen die wo so nicht   angegeben worden sind",d
"es wurde sich schlampig am Telefon gemeldet ich versteh' überhaupt nicht den Namen der der sich überhaupt meldet und dann werden die Sachen gar nicht richtig bearbeitet ich bekomm' hier Rechnungen die wo so nicht   angegeben worden sind",4
"weiter",0
"ja ich war sehr  zufrieden mit dem Gespräch",0
"weiter",0
"weiter",0
"war sehr zufrieden mit der Beratung hatt' eine sehr nette Dame bin wirklich überzeugt und war sehr sehr aufschlussreich",0
"ja ich war also sehr zufrieden mit den Mitarbeitern die Dame  sowohl der Herr waren sehr freundlich sehr geduldig und haben alle meine Fragen beantwortet zu meiner vollsten Zufriedenheit Dankeschön",0
"ach so Sie Sie möchten jetzt gern wissen ja die Kollegin die hat mir alles wunderbar erklärt was ich wissen wollte da ich  bisschen Probleme hatte wofür sie aber nichts konnte  und sie hat mir dafür aber alles erklärt damit ich zufrieden gestellt war also ich bedanke mich noch mal recht herzlich",0
"die Beratung durch die Mitarbeiterin war sehr nett und fachlich auch versiert was völlig abnervt ist die Länge der automatischen Bandansage dass zum Beispiel das Wort  Kundenbetreuer nicht verstanden wird weil es Kundenberater heißt und auch völlig abnervend ist die Menüführung jetzt  nachdem Interview dass  beispielsweise wenn gesagt wird drücken Sie Taste Eins für sowieso und Taste zwo für sowieso und  ich mich zu dem Zeitpunkt bereits entschieden hab' und die Tasteneingabe mache ich trotzdem alle Menüpunkte abwarten muss bis die Eingabe angenommen wird das ist zeitaufwändig und furchtbar nervig",0
"ich sollte zu T-Online durchgestellt werden und dann werd' ich einfach aus der Leitung  geschmissen was für ein Schwachsinn ist das denn bitte",a
"also die Dame war sehr freundlich und der Herr aus dem  oberfreundlich es ist war mal erfrischend weil bisher hatte ich nie so freundliche Menschen am Telefon weiter",0
"ja ich bin sehr sehr zufrieden ich bin mit dem Servicecenter im Allgemeinen und auch mit der Telekom zufrieden ich bin nur unzufrieden darüber dass man mich bei meiner  bei meinem letzten bei meiner letzten Sache so unwahrscheinlich im  Dunkeln lässt und keine  ich von Ihnen keine Antwort bekomme das war's danke",0
"Sie fragen nach einer Einschätzung ich hab' überhaupt noch kein Gespräch gehabt ich bitte um einen Kundenberater",a
"weiter weiter",0
"die Beraterin hat einfach aufgelegt und  hat also gar keine so Ohr gehabt für die  Probleme obwohl der Kunde über den sie ja gesprochen haben recht hat ich finde eine ganz schwache Leistung ich bin unzufrieden damit",b
"meine Zufriedenheit  war nicht sehr groß weil  das System der Dame die  am Telefon war funktionierte gerade nicht und sie konnte  mein Anliegen nicht so gründlich bearbeiten ansonsten war sie schon  höflich und  wollte mir helfen aber wie gesagt das System das Computer System funktionierte funktionierte zu de Zeitpunkt nicht weiter",0
"ich habe von dem Mitarbeiter alle Fragen die ich hatte bestens beantwortet bekommen und der hat eigene Ideen mit eingebracht ich bin mit dem mit   Mitarbeiter mehr als zufrieden Entschuldigung ich bin erkältet",0
"weiter",0
"ja ich möchte mich an dieser Stelle noch mal darüber äußern dass ich sehr sehr zufrieden bin mit dem Support das ist ja eher eine Seltenheit heutzutage und die Dame war wirklich sehr sympathische hat sehr ruhig und  qualifiziert meine Sachen eingegangen also wie gesagt ich mach' das normalerweise so nicht aber in dem Fall das fand' ich jetzt wirklich klasse wie sie mir da geholfen hat",0
"weiter weiter",0
"also ich hab' gerade angerufen für ein Problem was nie gelöst wird bei der Telekom zu lösen und auf einmal war mein Gesprächspartner verschwunden dass ich immer wütender werde und so langsam den Anbieter wechseln werde brauchen Sie sich nicht zu wundern",b
"weiter weiter",0
"ist ein äußerst angenehmes und sehr professionell geführtes Gespräch",0
"ich finde es blöde wenn man bei Ihnen anruft dass man eine Art Vorgabe kriegt und rundherum  Antworten muss wo will ich hin was will ich melden Sie einfach gleich zur richtigen Stelle das Gespräch das doch irgendwie ist das dumm   Verarscherei der Kunden weiter",0
"ich bin sehr zufrieden mit mit dem Service  von Ihrem Herrn  er hat mir also sehr geholfen durchs Telefon und ich muss sagen also alle Achtung ich bin sehr zufrieden und auch mit dem Herrn  ich dank' Ihnen vielmals",0
"weiter",0
"es betrifft die Änderung einer Kontonummer es wurde mir mitgeteilt dass das gefaxt wurde es ist noch nicht so weit gewesen wollte die Dame fragen wieso und sie legte einfach auf",4
"weiter weiter",0
"Servicemitarbeiter hat das Gespräch beendet aufgelegt  ohne mich weiter zu verbinden an der Stelle  Service mehr wie mangelhaft",b
"ich war sehr zufrieden mit dem Gespräch mit Herrn [vorn]  ich hab' mich ausgezeichnet beraten gefühlt und es ist keine einzige Frage unbeantwortet geblieben",0
"weiter",0
"weiter weiter weiter",0
"weiter",0
"das  Beratungsgespräch was ich gerade mit einer Kollegin hatte mit der Frau  fand' ich sehr kompetent geführt meine Fragen wurden alle beantwortet und ich bin wie ich eben schon gedrückt habe äußerst zufrieden",0
"sehr gehrte Damen und Herren ich bin bedient worden von einer Frau  und die äußerst zuvorkommend war sehr präzise und ich absolut zufrieden bin was eigentlich äußerst selten vorkommt bei der Telekom beziehungsweise T-Mobile ich danke herzlich der Frau  weil sie uns doch sehr sehr sehr geholfen hat Dankeschön",0
"ich war sehr zufrieden mit dem Gespräch ich hoffe  dass es auch geholfen hat",0
"ja weiter",0
"weiter",0
"ich hab' um die Erledigung eines Problems gebeten der junge Mann hat diese Anfrage aufgenommen und mir versprochen mich zurückrufen in dieser Hoffnung bin ich mit diesem jungen Mann sehr zufrieden  weiter",0
"ich war eine Dreiviertelstunde lang telefonisch verbunden mit T-Online hab' eine Auskunft bekommen dass man keine Auskunft bekommen kann und dass die Techniker jetzt alle im Gespräch sind und dort weiter verbunden heißt nur rufen Sie doch andermal an soweit zu einer Dreiviertelstunde hier in der Nacht warten um hier eine entsprechende Lösung zu finden toller Service",e
"ich war eine Dreiviertelstunde lang telefonisch verbunden mit T-Online hab' eine Auskunft bekommen dass man keine Auskunft bekommen kann und dass die Techniker jetzt alle im Gespräch sind und dort weiter verbunden heißt nur rufen Sie doch andermal an soweit zu einer Dreiviertelstunde hier in der Nacht warten um hier eine entsprechende Lösung zu finden toller Service",a
"das Anliegen ist  also mein Problem ist noch nicht gelöst worden aber ich hab' eine entsprechende kostenfreie Servicehotline gekriegt wo ich das Problem angeblich lösen kann",a
"ich habe eine Telefonstörung seit dem ersten Zwölften und wahrscheinlich schon etwas vorher ich bekomme keinen Anschluss zum Servicecenter ich werde permanent weggelegt bleib' in irgendwelchen Leitungen hängen die Mitarbeiter können mir nicht helfen und  Technik  ruft mich nicht zurück obwohl mehrfach meine Nummer dort hinterlegt worden ist seit dem ersten Zwölften kein Telefon kein Internet ich bin nicht zufrieden",3
"ich habe eine Telefonstörung seit dem ersten Zwölften und wahrscheinlich schon etwas vorher ich bekomme keinen Anschluss zum Servicecenter ich werde permanent weggelegt bleib' in irgendwelchen Leitungen hängen die Mitarbeiter können mir nicht helfen und  Technik  ruft mich nicht zurück obwohl mehrfach meine Nummer dort hinterlegt worden ist seit dem ersten Zwölften kein Telefon kein Internet ich bin nicht zufrieden",a
"ich versuche seit Dienstag eine Störung an meinem Telefon behoben zu bekommen bin auch eben wunderbar durch das ganze System durchgekommen und erfahre dann dass ich erst um sieben Uhr fünf und vierzig ein Mitarbeiter sprechen kann Mensch man wollte mich längst zurückrufen ich brauche dieses Telefon ganz ganz dringend und ich konnte am Dienstag ohne Schwierigkeiten bereist um sieben Uhr zehn ein Menschen erreichen warum ist das heute nicht möglich  weiter",3
"ich versuche seit Dienstag eine Störung an meinem Telefon behoben zu bekommen bin auch eben wunderbar durch das ganze System durchgekommen und erfahre dann dass ich erst um sieben Uhr fünf und vierzig ein Mitarbeiter sprechen kann Mensch man wollte mich längst zurückrufen ich brauche dieses Telefon ganz ganz dringend und ich konnte am Dienstag ohne Schwierigkeiten bereist um sieben Uhr zehn ein Menschen erreichen warum ist das heute nicht möglich  weiter",a
"ich wollte eine Störung melden beim ersten Mal bin ich aus der Leitung geflogen beim zweiten Mal fragt Ihre Maschinen nach dem geführten Gespräch es war nur überhaupt niemand am Telefon wie soll ich ein Gespräch bewerten was gar nicht stattgefunden hat vielen herzlichen Dank",3
"ich wollte eine Störung melden beim ersten Mal bin ich aus der Leitung geflogen beim zweiten Mal fragt Ihre Maschinen nach dem geführten Gespräch es war nur überhaupt niemand am Telefon wie soll ich ein Gespräch bewerten was gar nicht stattgefunden hat vielen herzlichen Dank",a
"guten Morgen an die unbekannte Gegenstelle  ich hab' die Bewertung durch die Taste eins eigentlich nichts hinzufügen der Service bisher auch mit den andern Kolleginnen und Kollegen den ich  mit der Telekom hatte war ausgezeichnet  ohne wenn und aber  mehr brauch' ich nicht dazu zu sagen ich bin sehr zufrieden",0
"nein ich war äußerst zufrieden denn der Herr mit dem ich gesprochen habe war sehr  vollkommen und sehr nett und dafür möcht' ich mich auch persönlich noch bei ihm bedanken",0
"der Kundenbetreuer war sehr  informativ und sehr nett mehr kann ich dazu nicht sagen",0
"ja ich war mit dem eben   geführten Gespräch wirklich äußerst zufrieden der Berater war sehr zuvorkommend freundlich nicht aufdringlich aber dennoch  sehr hilfsbereit also von daher ganz gerne das die Eins äußerst zufrieden weiter",0
"weiter",0
"ich konnte keine Bewertung abgeben es ist noch gar keine Beratung erfolgt da hat sich irgendwie bei Ihnen in Ihrer Kommunikation was überschlagen Dankeschön",a
"weiter",0
"weiter",0
"ich wurde sehr schnell und gut beraten",0
"sehr zufrieden",0
"liebe Deutsche Telekom ich bin seit über fünf und zwanzig Jahren Kunde bei Euch ich geb' Euch auch gerne die Kundennummer das ist die [kundennr] wir  ziehen seit zwei Wochen um es läuft alles prima und das absolut Einzige was überhaupt nicht läuft ist dieser scheiß Saftladen Telekom man kündigt einen Anschluss man kriegt keinen neuen es wird vergessen man kriegt das falsche zugesandt man ruft Servicehotlines an wo man nicht weitergeholfen wird man fährt in T-Punkt wo man blöd angesprochen wird weil man kein Vertragsabschluss  hinliefert ich sag' Euch ehrlich das Schlimmste an der ganzen Umzieherei ist die Deutsche Telekom hoffentlich geht Ihr bald pleite damit die Misere ein Ende hat auf Wiederhören frohe Weihnachten übrigens und schöne Bescherung",1
"schnell freundlich hilfsbereit sehr angenehm das war's",0
"weiter",0
"freundliche Beratung",0
"also ich fand' die Beratung ganz toll",0
"von der Warteschleifen muss ich war ich nicht begeistert also da könnt' man was Besseres eingeben im System die Verbindungsdauer zu einem Berater war noch akzeptabel die Beratung in selber eine Frau  mit der war ich  sehr zufrieden und die angesagte Serviceleistung dass der  Techniker den Schaden oder dieses dieses  Verschalten schnell lösen möchte beziehungsweise beheben möchte ist eine sehr akzeptable Zeit  fertig",e
"ich bin mit dem Gespräch äußerst zufrieden die  die die  der Service war sehr gut es war ein sehr höfliches Gespräch verständnisvoll und  also es ist sehr gut gewesen",0
"ich war sehr zufrieden mit der Beratung die Mitarbeiterin war sehr hilfsbereit und hat alles im Detail erklärt ich konnte alles verstanden also ich finde fande es wunderbar",0
"weiter",0
"ja bin äußerst zufrieden mit dem Telefon ich hab' alles erfahren was ich wusste  was ich wissen wollte ja ich bin jetzt weiß ich's bin zufrieden   hallo noch jemand da",0
"ja das ist alle eine dumme Sache von der ganzen Telekom das ist einmal eine ganze Verarschung hoch drei von allen weil wir sollten DSL kriegen im Haus das kann klappen das klappt ja und wir haben ganzes Wochenende kein Telefon gehabt gar nichts gehabt und jetzt ist es halt so ein Stück Leitung kaputt und das soll nicht eher wie nächste Woche ausgewechselt werden also das kann nicht möglich sein und wenn das so weitergeht dann gehen wir ganz von der Telekom weg dann kündigen wir den Vertrag komplett alles danke",1
"ja das ist alle eine dumme Sache von der ganzen Telekom das ist einmal eine ganze Verarschung hoch drei von allen weil wir sollten DSL kriegen im Haus das kann klappen das klappt ja und wir haben ganzes Wochenende kein Telefon gehabt gar nichts gehabt und jetzt ist es halt so ein Stück Leitung kaputt und das soll nicht eher wie nächste Woche ausgewechselt werden also das kann nicht möglich sein und wenn das so weitergeht dann gehen wir ganz von der Telekom weg dann kündigen wir den Vertrag komplett alles danke",3
"ich war sehr zufrieden mit den Auskünften von T-Mobile ich hab' jetzt mehrfach mit der  mit T-Mobile telefoniert und es war jedes Mal sehr nette Gespräch im Gegensatz zu Ihrem Kollegen  von der Telekom das war alles",0
