"1256192887354.txt";"TRANSCRIPTION: Sie war nicht groß gewillt mir zu helfen
";"d";;;;;"Häufigkeit absolut";"Kategorie";"Häufigkeit relativ (%)"
"1256670309290.txt";"TRANSCRIPTION: ich hab' *gerade* mit dem Servicemitarbeiter gesprochen und jetzt kommen Sie dazwischen mit Ihren komischen Fragen ich hab' ihm gesagt ich muss in den andern Raum gehen das hat nicht geklappt
";"b";;;;;;;
"1256670429635.txt";"TRANSCRIPTION: ja die Mitarbeiterin war sehr liebenswürdig und @hes@ hilfsbereit @hes@ das Ergebnis ist unbefriedigend @hes@ ich habe *ein* Blackberry gekauft @hes@ beim T-Point umgetauscht wegen eines Defekts und hab' jetzt einen [fragment] erneuten Defekt @hes@ der T-Point verweist mich auf @hes@ Ihre @hes@ Telefonnummer und sieht sich außerstande mir @hes@ einen neuen @hes@ oder eine Reparatur zu geben @hes@ bei Ihnen wiederum bekomm' ich @hes@ keinen neuen oder auch keine Hilfe weil ich kein [fragment] @hes@ weil ich kein Telekom Kunde bin und weil das Gerät nicht bei Ihnen @hes@ nicht @hes@ bekannt ist @hes@ ich häng' jetzt in der Luft @hes@ und das macht mich unzufrieden
";1;;;;;;;
"1256671269902.txt";"TRANSCRIPTION: ich hab' noch gar *nicht* mit dem Berater gesprochen und da [fragment] kamen die Fragen schon
";"a";;;;;;;
"1256671870179.txt";"TRANSCRIPTION: ich habe keine Antwort auf meine Frage bekommen @hes@ bin stattdessen in einer Warteschleife gelandet aus der ich dann am Schluss auch noch rausgeflogen bin unverschämt
";"a";;;;;;;
"1256672591295.txt";"TRANSCRIPTION: leider war die Servicemitarbeiterin sehr unverschämt so fand' ich *das* und @hes@ ich muss zwei oder dreimal meine Kundennummer wiederholen und ich hab' nicht diese Antwort bekommen die ich erwartet habe und @hes@ ich bin also sehr sehr unzufrieden mit des was jetzt gerade passiert ist normalerweise bin ich auf nette Mitarbeiter @hes@ gewöhnt aber heute war diese Mitarbeiter also wirklich fürchterlich und ich bin überhaupt nicht zufrieden mit diesen Service und mit diesen Antworten die sie mir gesagt hat ich hab' gefragt wie ich mich registrieren kann da ich Neukunde bin und so und ich hab' gar kein Antwort erhalten
";"d";;;;;;;
"1256673071592.txt";"TRANSCRIPTION: es wurde unterbrochen und sie war weg die Kundenberaterin
";"b";;;;;;;
"1256673311825.txt";"TRANSCRIPTION: [fragment] das Gespräch wurde einfach abgebrochen
";"b";;;;;;;
"1256673312085.txt";"TRANSCRIPTION: der Termin
";1;;;;;;;
"1256673432148.txt";"TRANSCRIPTION: [fragment] mit *keinem* ich wurde mit keinem Kundenberater verbunden das Gespräch fand nicht statt
";"a";;;;;;;
"1256673912434.txt";"TRANSCRIPTION: es war eher eine abwimmelnde Vorgehensweise
";0;;;;;;;
"1256675112708.txt";"TRANSCRIPTION: ich bin direkt [fragment] einfach in die Bewertung weitergerückt worden ohne mit einem Berater zu sprechen kein Berater an die Strippe bekommen
";"a";;;;;;;
"1256677153005.txt";"TRANSCRIPTION: es ist keine Verbindung zustande gekommen ich bin sofort in die Bewertung geleitet worden
";"a";;;;;;;
"1256677513262.txt";"TRANSCRIPTION: ja ich hab' Post für Treuegeschenk eins Multisim bekommen komm' aber nicht in die angegebene $W $W $W Mobile Adresse rein also Internet und jetzt krieg' ich hier kein an die Strippe unter [tel] also ich kann das im Prinzip nicht in Anspruch nehmen [fragment] sonst versuch' ich das [fragment] morgen kost' ja nix
";1;"a";;;;;;
"1256677753535.txt";"TRANSCRIPTION: Mobilbox Einrichtung fehlgeschlagen
";1;;;;;;;
"1256677993790.txt";"TRANSCRIPTION: die Herrschaften haben den Vertrag nicht richtig kontrolliert und @hes@ haben mir den Fehler zugeschoben und das ist unter aller Sau
";1;;;;;;;
"1256678954059.txt";"TRANSCRIPTION: ich bin gar nicht verbunden worden sondern gleich hier auf das Ende des Gesprächs
";"a";;;;;;;
"1256681954338.txt";"TRANSCRIPTION: dauert alles zu lange weiter bitte
";0;;;;;;;
"1256682674572.txt";"TRANSCRIPTION: mir wurde nicht geholfen und das Telefon wurde einfach [fragment] [fragment] @hes@ aufgelegt
";"b";;;;;;;
"1256684114869.txt";"TRANSCRIPTION: [vocal] ich bin [pause] äußerst zufrieden
";0;;;;;;;
"1256685555982.txt";"TRANSCRIPTION: der Kundenberater war überhaupt nicht kooperativ er hat sich @hes@ gar nicht der Sache angenommen er hat lediglich den letzten Vermerk den ich ihm aber auch mitgeteilt hab' hier noch mal vorgelesen und war total @hes@ meines Erachtens ohne ihn jetzt bewerten zu wollen für mich aus *dem* Schlaf erwacht oder nicht in der Lage überhaupt was dazu zu sagen also ich erwarte von einem Geschäftskunden Berater einiges wirklich mehr und vor allem mehr Freundlichkeit und mehr Entgegenkommen auch im Umgang mit seinen Geschäftskunden also für mich absolut unbefriedigend
";"d";;;;;;;
"1256685676197.txt";"TRANSCRIPTION: tja ich habe versucht mein Anliegen zu schildern und sollte dann weiterverbunden werden und werd' jetzt einfach aus der Leitung gekickt das find' *ich* absolut unfreundlich
";"c";;;;;;;
"1256686636467.txt";"TRANSCRIPTION: *ich* hab' eine Frage gestellt zum T-Mobile Vertrag und mir wurde nix gesagt
";1;;;;;;;
"1256693237006.txt";"TRANSCRIPTION: Gespräch wurde ohne (()) abgebrochen
";"b";;;;;;;
"1256710997634.txt";"TRANSCRIPTION: es wurde einfach aufgelegt ohne mir eine Antwort zu geben
";"b";;;;;;;
"1256711477879.txt";"TRANSCRIPTION: es wäre schön wenn man Sie anruft dass auch jemand drangeht und *nicht* sofort aufgelegt wird
";"a";;;;;;;
"1256711718992.txt";"TRANSCRIPTION: da die [fragment] da die Probleme mit dem Internet Stick schon seit längerem @hes@ bestehen @hes@ und ich jetzt in den Telekom Shop gehen soll anstatt dass man das übers Telefon irgendwie klären kann war ich nicht zufrieden
";1;;;;;;;
"1256712679370.txt";"TRANSCRIPTION: ich sollte verbunden werden und habe keinerlei Antwort erhalten
";"a";;;;;;;
"1256713159624.txt";"TRANSCRIPTION: ich möchte mein Problem jetzt lösen
";0;;;;;;;
"1256713159880.txt";"TRANSCRIPTION: [fragment] weiter
";0;;;;;;;
"1256714120810.txt";"TRANSCRIPTION: weiter
";0;;;;;;;
"1256714481111.txt";"TRANSCRIPTION: die *frage* die ich gestellt habe wurde noch nicht durch @hes@ noch nicht beantwortet weil Sie dazwischen kamen mit Ihrer Fragespiele hier
";"a";;;;;;;
"1256714721475.txt";"TRANSCRIPTION: ich bin im Gespräch mit dem Kundenberater Herrn [fragment] @hes@ [nachn] unterbrochen worden da @hes@ noch Dinge abzuklären war und plötzlich dieses elektronischer [fragment] @hes@ Befragung losging und damit bin ich absolut unzufrieden weil das Beratungsgespräch überhaupt nicht zu Ende war
";"b";;;;;;;
"1256714841704.txt";"TRANSCRIPTION: die [fragment] die Verbindung hat nicht funktioniert
";"a";;;;;;;
"1256715321907.txt";"TRANSCRIPTION: [fragment] wurde einfach [fragment] das Gespräch wurd einfach beendet ohne meine Anfrage überhaupt zu bearbeiten
";"b";;;;;;;
"1256715682099.txt";"TRANSCRIPTION: weiter
";0;;;;;;;
"1256715802376.txt";"TRANSCRIPTION: weiter
";0;;;;;;;
"1256716042613.txt";"TRANSCRIPTION: weiter
";0;;;;;;;
"1256716402827.txt";"TRANSCRIPTION: weiter
";0;;;;;;;
"1256716643151.txt";"TRANSCRIPTION: ich sollte kurz ich sollte kurz warten und bin aus der Leitung *geschmissen* worden das Gespräch *ist* nicht beendet mir hat sie gar *nicht* *geholfen*
";"c";;;;;;;
"1256716883393.txt";"TRANSCRIPTION: ich habe keinen Berater angetroffen ich bin nicht verbunden worden
";"a";;;;;;;
"1256717243923.txt";"TRANSCRIPTION: das Gespräch wurde entgegengenommen aber mit mir wurde nicht gesprochen auf mehrfach hallo hat man nicht reagiert
";"b";;;;;;;
"1256717364157.txt";"TRANSCRIPTION: die Beschwerde wurde nicht bearbeitet sondern nur an [fragment] eine Möglichkeit einer schriftlichen Beschwerde verwiesen @hes@ die angegebenen Daten wurden nicht von Ansprechpartner zu Ansprechpartner weitergereicht und ich muss im Prinzip @hes@ bei jedem Ansprechpartner mit der Geschichte neu anfangen weiter
";1;;;;;;;
"1256717724540.txt";"TRANSCRIPTION: ich war nur in der Warteschleife und hatte kein Beratergespräch
";"a";;;;;;;
"1256717964833.txt";"TRANSCRIPTION: [breath] die Dame am Telefon war äußerst unfreundlich der könnt' man mal *ein* Telefon Training verpassen @hes@ die Beratung war schlecht nur auf Nachfrage und nicht ((Büro)) aktiv auf so was kann *ich* eigentlich verzichten
";"d";;;;;;;
"1256718085089.txt";"TRANSCRIPTION: mir wurde gar kein Service entgegengenommen es wurde nicht mal ein ein Gespräch entgegengenommen [pause] ziemlich schlechter Service gar kein Service
";"a";;;;;;;
"1256718445409.txt";"TRANSCRIPTION: überhaupt kein keine [fragment] man kriegt gar kein Information man [fragment] wird einfach in die Leitung gehängt @hes@ hängengelassen das schrecklich wieder Telekom wieder *ein* Scheiß wieder ehrlich
";"a";;;;;;;
"1256718805633.txt";"TRANSCRIPTION: der Service insgesamt der @hes@ stinkt zum Himmel
";0;;;;;;;
"1256718805842.txt";"TRANSCRIPTION: weil die linke Hand nicht weiß was die rechte tut das ärgert mich maßlos
";0;;;;;;;
"1256719045891.txt";"TRANSCRIPTION: ich hätte mir gewünscht dass ich jemanden sprechen kann allerdings werd' ich hier nur durch irgendwelches Nirwana *geführt* und ich habe bis jetzt noch mit niemanden gesprochen ich warte drauf
";"a";;;;;;;
"1256719766123.txt";"TRANSCRIPTION: überhaupt keine Antwort erhalten sondern @hes@ das Gespräch wurde beendet
";"a";;;;;;;
"1256720246378.txt";"TRANSCRIPTION: das war nicht so gut wie die Angebote Vertrag was ich [fragment] @hes@ schlechtes Telefon bekommen hab' und Sie nicht zurücknehmen das war's
";1;;;;;;;
"1256720366626.txt";"TRANSCRIPTION: weiter [garbage]
";0;;;;;;;
"1256720366870.txt";"TRANSCRIPTION: ich habe geraume Zeit gewartet bis ich überhaupt angenommen war bin dann in die Warteschleife gestellt worden und plötzlich kommt Anfrage wie das Gespräch gelaufen sei es war überhaupt noch kein Gespräch und ich ja fürchte ich müsste das ganze wieder von vorne anfangen es kostet mich bis jetzt etwa sechs Minuten
";"a";;;;;;;
"1256720486919.txt";"TRANSCRIPTION: mitten im Gespräch wurde meine @hes@ wurde mein Gespräch ich sollte warten und jetzt bin ich aus der Leitung geflogen
";"b";;;;;;;
"1256720487194.txt";"TRANSCRIPTION: ich hab' das *Gespräch* gar nicht verstanden das war so undeutlich die Übertragung war schlecht
";;;;;;;;
"1256720727259.txt";"TRANSCRIPTION: der Mann der mir gegenüber and er Strippe saß der war völlig überfordert *inkompetent* unhöflich und hat einfach nur aufgelegt *eine* Frechheit so was
";;;;;;;;
"1256720727475.txt";"TRANSCRIPTION: und zwar konnte man mir nicht helfen mich hat man weggedrückt das *eine* Unverschämtheit ich kann zum Service nichts mehr sagen das ist das allerletzte
";;;;;;;;
"1256720968488.txt";"TRANSCRIPTION: Gespräch wurde einfach abgebrochen
";;;;;;;;
"1256721088812.txt";"TRANSCRIPTION: [breath] ja ich habe eben bei diesem Gespräch keinen Mitarbeiter erwischt weil alle Mitarbeiter in Gesprächen sind deswegen muss ich dazu natürlich unzufrieden deshalb
";;;;;;;;
"1256721209105.txt";"TRANSCRIPTION: es war gar keine Beratung ich habe im Hintergrund Stimmen gehört dass die Hotline *geschaltet* war aber es ist niemand ans Telefon gegangen
";;;;;;;;
"1256721569371.txt";"TRANSCRIPTION: die Mitarbeiterin war unfreundlich und unverschämt und unsachlich
";;;;;;;;
"1256721929629.txt";"TRANSCRIPTION: ich habe ich habe drei Minuten gewartet oder vier *oder* fünf und habe noch nicht mal mit einem Mitarbeiter sprechen können
";;;;;;;;
"1256722169863.txt";"TRANSCRIPTION: einfach aufgelegt
";;;;;;;;
"1256722290065.txt";"TRANSCRIPTION: ich wurde aus einfach aus der Leitung als beendet rausgeschmissen
";;;;;;;;
"1256722290295.txt";"TRANSCRIPTION: die Organisation des Kundenservice ist @hes@ *ungeeignet* schwierige Probleme zu lösen
";;;;;;;;
"1256722890398.txt";"TRANSCRIPTION: ich *hab'* keinerlei Beratung gekriegt und die gute Frau hat einfach aufgelegt
";;;;;;;;
"1256723011581.txt";"TRANSCRIPTION: also wir haben wir haben ein @hes@ Gerät @hes@ moniert @hes@ $M $I fünf und siebzig *das* einen miserablen Netzempfang hat und @hes@ die Ihre Service @hes@ [fragment] die ich hat das Gefühl die wollt' @hes@ verhindert sie wollt' verkomplizieren und es war überhaupt kein Service also das war wirklich @hes@ das war @hes@ unter also wirklich unter aller Kanone um das mal so zu sagen *das* ist jetzt auch schon das zweite Mal dass ich @hes@ sehr sehr unzufrieden mit Ihrem (()) Kundenservice @hes@ bin @hes@ das andere Mal hab' ich mich @hes@ direkt beschwert aber es ist das ist wirklich @hes@ kein Standard
";;;;;;;;
"1256723131877.txt";"TRANSCRIPTION: [nachn] hier ich hab' eine Störung gemeldet für die Telefonnummer [tel] bin durchs System geführt worden wollte mit jemanden sprechen und bin dann abgehängt worden und bin jetzt in dieser komischen Bewertung gelandet ich würde Sie bitten da mein Telefon gestört ist mich unter [tel] das ist mein Arbeitsplatz anzurufen damit ich erfahre wann und wie das @hes@ Problem gelöst werden kann und damit überhaupt *eine* Möglichkeit besteht von Ihnen aus sich mit mir in Verbindung zu [fragment] zu setzen weil mein Telefon zu Hause ja gestört ist ich danke Ihnen und auf Wiederhören [vocal]
";;;;;;;;
"1256723732132.txt";"TRANSCRIPTION: @hes@ die Dame war [vocal] ungeduldig und [garbage]
";;;;;;;;
"1256723732340.txt";"TRANSCRIPTION: ja ich bin zufrieden
";;;;;;;;
"1256724092409.txt";"TRANSCRIPTION: unser Gespräch wurde sofort unterbrochen
";;;;;;;;
"1256724212682.txt";"TRANSCRIPTION: erst ist meine Frage nicht beantwortet worden und dann wurd' ich von der Dame aus der Leitung geworfen das ist nicht die feine englische Art
";;;;;;;;
"1256724692939.txt";"TRANSCRIPTION: [vocal] *ich* wurde irgendwie immer *eine* ganz halbe Stunde weiterverbunden und keiner konnte mir helfen so richtig *nicht* und auf einmal war's Gespräch weg und @hes@ die Frage Aktion ist jetzt gerade gekommen hier
";;;;;;;;
"1256724813169.txt";"TRANSCRIPTION: das Telefonat wurde einfach über die Warteschleife vom Mitarbeiter beendet die Informationen hinsichtlich eines T-DSL Anschlusses konnten überhaupt nicht geliefert werden zwei und zwanzig Minuten und zwei und zwanzig Sekunden häng' ich jetzt in der Wartschleife [vocal] eigentlich nicht sehr kompetent
";;;;;;;;
"1256724813488.txt";"TRANSCRIPTION: die Kundenberaterin hat einfach aufgelegt
";;;;;;;;
"1256725053589.txt";"TRANSCRIPTION: ich kann schon eine Woche nicht mehr telefonieren und das sollte schon lange behoben sein ich [vocal] ich dreh' bald durch das ist *furchtbar* ich hab' hier so viel zu zu besprechen und ich kann nicht telefonieren und Frau mit einer Frau [nachn] oder [nachn] hab' ich gesprochen und die wollte sich dafür einsetzen
";;;;;;;;
"1256726013877.txt";"TRANSCRIPTION: ich sollte mit dem Service durchverbunden werden aber [fragment] er hat sich nicht gemeldet und ich hab' ja schon lange gewartet und deswegen bin ich sauer danke
";;;;;;;;
"1256726494966.txt";"TRANSCRIPTION: die Arbeitsabläufe der Telekom sind unter aller Sau ich wart' jetzt zwei Wochen auf ein Portierungsantrag der handschriftlich @hes@ dann persönlich an mich adressiert wird von einem netten Mitarbeiter den hier noch mal lobenswert erwähnen möchte dummerweise war das der einzigste bisher mit den acht Telefonaten die ich geführt habe es kann nicht sein dass die Telekom ein Antrag zwei Wochen lang liegenlässt und mich dann vertröstet
";;;;;;;;
"1256726735271.txt";"TRANSCRIPTION: ja nach mehreren Minuten Warten bin ich einfach aus der @hes@ Warteschleife raus @hes@ gekickt und der Geschäfts Anschluss ist nach wie vor ohne @hes@ Empfang also wir können weder telefonieren noch Anrufe empfangen nicht unbedingt [fragment]
";;;;;;;;
"1256727215586.txt";"TRANSCRIPTION: ich habe darum gebeten weiterverbunden zu werden zu einem Vorgesetzten daraufhin hat die Dame mich einfach wohl abgewürgt und in diese @hes@ @hes@ in diese Bewertungs Schleife gesetzt und das ist einfach absolut [fragment] inakzeptabel und unprofessionell
";;;;;;;;
"1256727335822.txt";"TRANSCRIPTION: es fand überhaupt kein Gespräch statt
";;;;;;;;
"1256727576241.txt";"TRANSCRIPTION: ich rufe schon das zweite oder dritte Mal an werd' in irgendwelche Warteschleifen gesteckt und hab' jetzt eine Frage ich wurde mir wurde gesagt ich sollt' *ein* Sekündchen warten und schon waren Sie mit Ihrer Nachfrage da ich hab' überhaupt kein [vocal] keine Antwort bekommen
";;;;;;;;
"1256727696516.txt";"TRANSCRIPTION: ich wurde weggedrückt
";;;;;;;;
"1256729377699.txt";"TRANSCRIPTION: der Kundenberater war sehr unfreundlich und hat einfach aufgelegt und hat mich beleidigt [pause] (()) angegriffen
";;;;;;;;
"1256729497984.txt";"TRANSCRIPTION: ich würde gern *eine* Frage zu einer Überweisung beantwortet haben daraufhin *antwortetet* mir die Kundenberaterin sehr sehr unfreundlich und sehr hochnäsig und ich finde so was gehört nicht in *den* Kunden Support und @hes@ ja ich werde überlegen @hes@ den Anbieter zu wechseln weil so was ist mir vollkommen nicht nötig irgendwie weil mir so was geben zu müssen Dankeschön
";;;;;;;;
"1256729498226.txt";"TRANSCRIPTION: leider hat überhaupt kein Gespräch stattgefunden sondern ich bin direkt in diese Abfrage aus der Warteschleife in die Abfrage [breath] @hes@ geschickt worden [pause] weiter
";;;;;;;;
"1256729498302.txt";"TRANSCRIPTION: [garbage]
";;;;;;;;
"1256729978354.txt";"TRANSCRIPTION: die Kundenberaterin hat einfach aufgelegt
";;;;;;;;
"1256730098603.txt";"TRANSCRIPTION: @hes@ der Kundenberater hat mir einfach *nicht* weiterhelfen können in meinem Anliegen und @hes@ fühl' mich eigentlich total im Stich gelassen von dem Ganzen *ich* wollte jetzt @hes@ ja das *Ganze* eigentlich am Telefon klären aber wahrscheinlich werd' *ich* dann doch in *der* Rechnung machen müssen *ja* danke
";;;;;;;;
"1256730098839.txt";"TRANSCRIPTION: ich möchte nur eins dazu sagen dass ich kein Kunde bin von Telekom ich habe trotzdem immer wieder Rechnungen und Mahnungen von Ihnen bekommen Ihre Leute bekommen das einfach nicht auf die Reihe mich aus Ihrem Programm aus Ihrem Computer zu löschen ich hoffe dass dieses jetzt passiert weil mit der Dame mit der ich gesprochen habe war sehr zuvorkommend ein Lob an sie und ich hoffe sie kann das Alles begleichen
";;;;;;;;
"1256730218903.txt";"TRANSCRIPTION: eine bessere Auskunft und mehr Entgegenkommen
";;;;;;;;
"1256730219159.txt";"TRANSCRIPTION: ich bin nicht zufrieden weil in meine @hes@ Telefon haben Sie gesperrt ohne Grund und @hes@ da musste irgendwo schnell wie möglicht das ist eine Geschäft ist das da @hes@ hab' ich große Schaden und ich werde eine Schaden Ersatz verlangen von Ihnen bis Freitag sollte [fragment] eingeschaltet werden jetzt *haben* Sie Verstand
";;;;;;;;
"1256730339214.txt";"TRANSCRIPTION: ja da ist keine Lösungs @hes@ gefunden worden ich bin gleich weiter @hes@ gestellt worden und @hes@ Kundenbefragung das ist [fragment] für mich ja keine Lösung
";;;;;;;;
"1256730339491.txt";"TRANSCRIPTION: die Dame wollte mich gerade weiterverbinden und dann war das Gespräch zu Ende beziehungsweise sofort kam dann dieser Service hier diese Auskunft an Apparat find' das *eine* Katastrophe
";;;;;;;;
"1256730939564.txt";"TRANSCRIPTION: Service
";;;;;;;;
"1256731299769.txt";"TRANSCRIPTION: das zweite Telefongespräch mit dem Kundenberater der hat einfach aufgelegt
";;;;;;;;
"1256731300048.txt";"TRANSCRIPTION: die Dame war ständig unfreundlich ständig ins Wort fallend mir keine Auskunft geben wollend und als ich ihr dies mitteilte hat sie einfach aufgelegt
";;;;;;;;
"1256731300127.txt";"TRANSCRIPTION: ich bin Neukunde bei Ihnen ich ruf' wegen *dem* Kundenservice an ich werd' einfach weggedrückt das ist kein Kundenservice find' ich
";;;;;;;;
"1256731660196.txt";"TRANSCRIPTION: ich bin verbunden worden aber niemand hat mit mir gesprochen ob schon ich im Hintergrund Stimmen gehört hab' und dann wurde aufgelegt
";;;;;;;;
"1256731900452.txt";"TRANSCRIPTION: [fragment] Service das ganze Service
";;;;;;;;
"1256732140666.txt";"TRANSCRIPTION: [fragment] das Gespräch hat leider nicht stattgefunden ich bin gekappt worden
";;;;;;;;
"1256732620920.txt";"TRANSCRIPTION: ich war zufrieden
";;;;;;;;
"1256732741151.txt";"TRANSCRIPTION: ich habe mit gar keinem gesprochen [pause] der gute Mann hat sich mit Namen gemeldet und hat dann nix mehr von sich hören lassen
";;;;;;;;
"1256733102191.txt";"TRANSCRIPTION: das Telefonat ist vom Sachbearbeiter einfach unterbrochen worden außerdem hatte ich eine Beschwerde und trotz dieser Beschwerde will mir die Sachbearbeiterin einen anderen Tarif andrehen und das ist ja [vocal] nun eigentlich äußerst undiplomatisch
";;;;;;;;
"1256733102426.txt";"TRANSCRIPTION: komplett Service null
";;;;;;;;
"1256733102475.txt";"TRANSCRIPTION: [fragment]
";;;;;;;;
"1256734182771.txt";"TRANSCRIPTION: @hes@ der Umzugs Service funktioniert nicht richtig wir ziehen zum zweiten elften um und es wurde eine falsche DSL Geschwindigkeit bestätigt wir haben das mehrfach reklamiert und es ist bis heute nichts passiert und *gerade* wurde das Gespräch beendet ich schätze mal durch ausversehentliches Wegdrücken und ja das war dann die Zufriedenheit für den Arsch auf gut Deutsch
";;;;;;;;
"1256734303924.txt";"TRANSCRIPTION: weiter
";;;;;;;;
"1256734544168.txt";"TRANSCRIPTION: weiter
";;;;;;;;
"1256734664396.txt";"TRANSCRIPTION: alle Callcenter haben nicht den Service [fragment] @hes@ geboten @hes@ den ich haben wollte @hes@ die haben einfach aufgelegt wenn *sie* überfordert waren
";;;;;;;;
"1256734904605.txt";"TRANSCRIPTION: weiter weiter
";;;;;;;;
"1256735865015.txt";"TRANSCRIPTION: ich hatte gar kein Gespräch es kam sofort die Abfrage und ich wollte eigentlich ein Gespräch mit einem Mitarbeiter führen
";;;;;;;;
"1256736825424.txt";"TRANSCRIPTION: ich wurde innerhalb eines Gesprächs einfach an diesen Automaten weitergeleitet man konnte mir keine Auskunft geben warum das @hes@ um warum die Leistung jetzt schlechter ist als vorher und *darüber* warum ich mein Vertrag nicht kündigen kann
";;;;;;;;
"1256737066544.txt";"TRANSCRIPTION: hallo [vorn] [nachn] die unfreundliche Kollegin gerade eben am Telefon hat gerade das Gespräch einfach beendet @hes@ nachdem ich sie nach ihren Namen gefragt habe und ihr mitgeteilt habe dass ich eine Beschwerde machen werde ' ich bitte Sie darum das nachzuvollziehen warum die Dame das gemacht hat und hoffe eine Entschuldigung sonst werd' ich weitere Schritte einleiten Dankeschön
";;;;;;;;
"1256737306898.txt";"TRANSCRIPTION: ich habe dreißig Minuten in der Wartschlange gewartet keine Antwort erhalten äußerst unzufriedenstellend ich bin mit dem Service überhaupt nicht einverstanden
";;;;;;;;
"1256738028087.txt";"TRANSCRIPTION: angeblich ist es eine Beratung und angeblich ist es ein Service und darunter ist diese Dame war unverschämt und hat sie mir einfach das Telefon aufgelegt und ich meine ich hab' hier ein Problem gehabt von Anfang an die den Fax hat nicht funktioniert und hab' ich sie gebeten sie soll reibungslos die Sache für mich erledigen und das hat sie nicht getan und hat sie mir einfach aufgelegt sie will alles schriftlich haben also das geht ja nicht so
";;;;;;;;
"1256738148409.txt";"TRANSCRIPTION: es war überhaupt nicht so wie ich es mir gewünscht hätte dieser unfreundliche Mitarbeiter ist nicht auf meine Wünsche eingegangen hat mir lediglich empfohlen ich soll noch mal in der Gegend rumfragen ins nächste T-Mobile Geschäft oder ich soll *schriftlich* schreiben und am Schluss hat der aufgelegt hat mir nicht seinen Namen genannt und hat als Begründung gesagt ich wäre zu laut geworden ich hab' ihm's mehrmals angeboten aber er war einfach nicht bereits selbst was zu tun
";;;;;;;;
"1256738268698.txt";"TRANSCRIPTION: [fragment] [garbage] falsche Beratung @hes@ kein Internet falsche Versprechen [fragment] nix @hes@ nicht erfüllte Versprechungen halt [pause] [garbage]
";;;;;;;;
"1256738628991.txt";"TRANSCRIPTION: ich hab' mit noch niemand gesprochen
";;;;;;;;
"1256738629204.txt";"TRANSCRIPTION: ich versuche seit circa *einer* halben Stunde *eine* Frage beantwortet zu kriegen wegen meiner Navigations Software die nicht mehr funktioniert und das eigentliche was ich kriege ist immer zu [fragment] rumverbunden zu werden und irgendwelche blöden Fragen zu beantworten *das* reicht mir langsam Schluss
";;;;;;;;
"1256738750236.txt";"TRANSCRIPTION: ich versuche *eine* qualifizierte Störungsmeldung loszuwerden ich habe ein Routing Problem im Netzwerk in Ihrem [fragment] Telekom Netzwerk @hes@ entdeckt es ist mir leider nicht möglich in irgendeiner Art und Weise den Menschen die damit @hes@ beschäftigt sein diese Information zukommen zu lassen die letzte Mitarbeiterin hat sogar das Gespräch aufgelegt als ich ihr wiederholt gesagt hab' ich brauche kein Telekom Mitarbeiter hier vor Ort was soll der hier tun das ist in Ihrem Netz ein Problem anscheinend scheint das keiner zu verstehen
";;;;;;;;
"1256739230462.txt";"TRANSCRIPTION: ich warte seit dem vierzehnten zehnten auf meinen [fragment] Internet und es wurde bis heute nicht geschaltet und bis heute mir wurde kein wurde mir kein Termin genannt wann ich mein [fragment] erhalte [garbage]
";;;;;;;;
"1256739350726.txt";"TRANSCRIPTION: das ((zügige)) Weiterverbinden
";;;;;;;;
"1256740071039.txt";"TRANSCRIPTION: ich bin von der zwo tausender Nummer @hes@ zu dieser Stelle hinmanövriert worden hab' aber letztendlich nicht die entsprechende Person am Telefon gehabt die für mein Problem wirklich verantwortlich gewesen wäre ja in mein konkreten Fall ich bin fremd Kunde und wollte meine Telefon Verdrahtung auf den vor Haustür stehenden Outdoor (()) umschalten lassen und das hat die Kollegin leider nicht auf die Reihe gekriegt danke
";;;;;;;;
"1256740071344.txt";"TRANSCRIPTION: zehn Minuten in der Leitung gewartet dann hat sie haben Sie sich mit dem mit der Rückfrage gemeldet aber mein Problem ist nicht gelöst
";;;;;;;;
"1256740192383.txt";"TRANSCRIPTION: die [fragment] die Vertragsbedingungen die abgeschlossen wurden wurden nicht eingehalten [pause] Ende
";;;;;;;;
"1256740192649.txt";"TRANSCRIPTION: ich *wollte* eigentlich nur eine Begründung haben warum unsere Kündigungsbestätigung nicht durch ist und ich jetzt eine Mahnung erhalten habe im September war die Kündigung und jetzt hab' ich eine Mahnung bekommen dass wir das Geld für Oktober nicht bezahlt haben
";;;;;;;;
"1256740672742.txt";"TRANSCRIPTION: [fragment] ich bin einfach *abgeschnitten* worden mit dem Sachbearbeiter also *das* ist ja wohl *ein* Hammer [pause] während dem Gespräch wurd' ich bald weg *das* geht doch wohl gar nicht
";;;;;;;;
"1256740672997.txt";"TRANSCRIPTION: der Mitarbeiter am Telefon war äußerst höflich freundlich und kompetent @hes@ das Ergebnis war äußerst unbefriedigend [pause] weiter
";;;;;;;;
"1256740793047.txt";"TRANSCRIPTION: ich wurde noch gar nicht @hes@ verbunden mit ihrem Mitarbeiter und trotzdem @hes@ fordern Sie mich zum @hes@ bewerten lassen also das Gespräch ist noch gar nicht stattgefunden
";;;;;;;;
"1256740913290.txt";"TRANSCRIPTION: [fragment] das Gespräch wurde [fragment] abgebrochen @hes@ hier @hes@ und wir waren noch nicht fertig ich kam keine @hes@ Auskunft
";;;;;;;;
